ds,yhat,State
2023-12-24,111498757.42425664,Arkansas
2023-12-25,114241750.64056928,Arkansas
2023-12-26,110700104.66482678,Arkansas
2023-12-27,122010430.23435655,Arkansas
2023-12-28,109881854.00726424,Arkansas
2023-12-29,110970947.05932477,Arkansas
2023-12-30,115460094.91734487,Arkansas
2023-12-31,112085882.50276299,Arkansas
2024-01-01,114355057.2322687,Arkansas
2024-01-02,110331975.24964732,Arkansas
2024-01-03,121166113.75271167,Arkansas
2024-01-04,108579282.29515164,Arkansas
2024-01-05,109240190.84279229,Arkansas
2024-01-06,113342476.52745718,Arkansas
2024-01-07,109632772.31518503,Arkansas
2024-01-08,111626389.86544484,Arkansas
2024-01-09,107394529.51142117,Arkansas
2024-01-10,118091606.98381267,Arkansas
2024-01-11,105442334.92872024,Arkansas
2024-01-12,106116220.5379135,Arkansas
2024-01-13,110305583.0440381,Arkansas
2024-01-14,106753674.33127365,Arkansas
2024-01-15,108970473.19741891,Arkansas
2024-01-16,105020062.74363711,Arkansas
2024-01-17,116048175.44588983,Arkansas
2024-01-18,103769537.43237461,Arkansas
2024-01-19,104842665.49116263,Arkansas
2024-01-20,109448211.72902331,Arkansas
2024-01-21,106317429.52237016,Arkansas
2024-01-22,108948321.18743595,Arkansas
2024-01-23,105393366.5332977,Arkansas
2024-01-24,116787406.63564603,Arkansas
2024-01-25,104835304.52827151,Arkansas
2024-01-26,106187027.1858026,Arkansas
2024-01-27,111016235.50453244,Arkansas
2024-01-28,108048948.8829264,Arkansas
2023-12-04,858524081.2940422,California
2023-12-05,844228968.7541988,California
2023-12-06,923262699.0057455,California
2023-12-07,815601256.3549516,California
2023-12-08,838184566.2283932,California
2023-12-09,876209263.4515109,California
2023-12-10,843817847.759672,California
2023-12-11,850955711.1033819,California
2023-12-12,838476000.2625604,California
2023-12-13,919485782.2275658,California
2023-12-14,813899153.5592306,California
2023-12-15,838591417.6390691,California
2023-12-16,878693811.3868092,California
2023-12-17,848284629.4630938,California
2023-12-18,857248172.686382,California
2023-12-19,846381428.0076442,California
2023-12-20,928741894.5867274,California
